time_day,S_reference,I_reference,R_reference,I_your_euler,I_RK4
37.5,91.0413964994022,149.473008699992,759.4855948006056,154.85477410543194,149.47315239018252
38.0,89.8828094890987,143.31296464490728,766.8042258659937,148.30914219356814,143.31310409432703
38.5,88.7858714207564,137.39323219227407,773.8208963869693,142.0246558722184,137.39336738602816
39.0,87.74686339147802,131.7057173489907,780.547419259531,135.99241509391965,131.70584844891107
39.5,86.7623255520857,126.24246860026344,786.9952058476506,130.2036625536453,126.242595626808
40.0,85.8290366144865,120.995689570526,793.1752738149872,124.649801645018,120.99581259190668
40.5,84.94399471183841,115.95774993016974,799.0982553579917,119.32241121332038,115.95786909670889
41.0,84.10440059796318,111.1211942702574,804.7744051317792,114.21325749202221,111.12130959556094
41.5,83.30764181101183,106.47874838765678,810.2136098013312,109.31430356716274,106.47885999106094
42.0,82.55127833092529,102.02332474430145,815.425396924773,104.61771667599429,102.0234327333033
42.5,81.83302968886217,97.74802606719237,820.4189442439452,100.11587361236924,97.74813047538753
43.0,81.15076277687528,93.64614749539287,825.2030897277317,95.80136448103485,93.64624846661923
43.5,80.50248102218082,89.7111782355829,829.786340742236,91.66699501592187,89.7112758451133
44.0,79.88631436471032,85.93680167135975,834.1768839639298,87.70578765333971,85.93689597384451
44.5,79.30050991005457,82.31689480781604,838.3825952821292,83.91098152942037,82.31698594836915
45.0,78.74342362004437,78.84552735476073,842.4110490251946,80.27603155191221,78.84561539027709
45.5,78.21351249782336,75.51695962299154,846.2695278791848,76.7946066792674,75.51704462775477
46.0,77.70932739480972,72.32564024909536,849.9650323560946,73.46058752467097,72.32572235329432
46.5,77.22950654887875,69.26620358599229,853.5042898651287,70.26806338902823,69.2662828384345
47.0,76.77276946966002,66.33346628731215,856.8937642430276,67.21132881478053,66.3335427763405
47.5,76.33791136693966,63.522423977314865,860.1396646557452,64.28487974159977,63.522497814912136
48.0,75.9237980778094,60.82824760478811,863.2479543174022,61.48340933537572,60.82831883585244
48.5,75.52936125877791,58.24627930814931,866.2243594330724,58.80180355333038,58.24634802864191
49.0,75.15359403786368,55.772028497568705,869.0743774645672,56.23513650045638,55.77209480256799
49.5,74.79554699895614,53.401167642288065,871.8032853587555,53.77866562568002,53.401231574781924
50.0,74.4543243837472,51.12952780989795,874.4161478063545,51.42782680010368,51.12958946773149
50.5,74.12908066922698,48.95309448128421,876.9178248494885,49.17822931430554,48.953153945191325
51.0,73.81901736705306,46.86800310033725,879.3129795326095,47.025650826895244,46.86806041242968
51.5,73.52338000724242,44.87053454716552,881.6060854455918,44.96603229227749,44.87058980276606
52.0,73.2414554205082,42.95711090165508,883.8014336778365,42.995472891804035,42.95716416984609
52.5,72.97256917182582,41.12429097995577,885.9031398482182,41.11022498914761,41.124342302351366
53.0,72.7160831508123,39.368765909087756,887.9151509400998,39.306689127762155,39.3688153755396
53.5,72.47139339575071,37.687354981634314,889.8412516226148,37.58140908566247,37.68740265194366
54.0,72.23792802410703,36.07700132650774,891.6850706493851,35.931067000426275,36.077047241721395
54.5,72.01514529551824,34.53476768867692,893.4500870158047,34.35247857525999,34.534811931516444
55.0,71.80253185602703,33.057832466361276,895.1396356776115,32.842588375147706,33.05787508924272
55.5,71.59960106022618,31.643485607897418,896.7569133318763,31.39846522049469,31.64352665092244
56.0,71.40589140413368,30.289124656374028,898.3049839394922,30.017297684259155,30.28916419457219
56.5,71.22096509857005,28.992251025351415,899.7867838760784,28.69638969731866,28.99228910512824
57.0,71.04440670132436,27.750466173572626,901.2051271251029,27.43315626572138,27.75050283351696
57.5,70.87582184113485,26.56146794444793,902.562710214417,26.225119302511654,26.56150325219684
58.0,70.71483605136147,25.42304711197268,903.8621168366657,25.069903575978728,25.423081108813413
58.5,70.56109364846259,24.33308385645611,905.1058224950812,23.96523277544413,24.33311657900807
59.0,70.41425668676698,23.289544409880328,906.2961989033525,22.908925695065303,23.28957591889667
59.5,70.27400399935854,22.290477884927576,907.4355181157139,21.89889253558013,22.290508217276457
60.0,70.14003027345493,21.33401305720446,908.5259566693405,20.933131323439518,21.334042247222555
60.5,70.0120451892756,20.41835531425813,909.5695994964661,20.009724446364892,20.418383416391855
61.0,69.8897726269737,19.541783767793326,910.5684436052329,19.126835304016872,19.54181081505662
61.5,69.77294990036711,18.702648336370697,911.5244017632622,18.28270507216348,18.70267436063734
62.0,69.66132704356447,17.899366987295494,912.43930596914,17.475649578485577,17.89939203728958
62.5,69.5546661518069,17.13042312357419,913.3149107246188,16.704056287947747,17.13044722891872
63.0,69.45274074329112,16.394362953808958,914.1528963028999,15.966381395490451,16.394386143845473
63.5,69.3553351651222,15.68979301093054,914.9548718239472,15.261147023659097,15.689815329221014
64.0,69.26224404280875,15.015377800027558,915.7223781571636,14.586938522674252,15.015399273189812
64.5,69.17327174628804,14.36983743785901,916.4568908158528,13.942401870360996,14.369858092718692
65.0,69.08823189283227,13.751945429471164,917.1598226776965,13.3262411692913,13.751965304949367
65.5,69.00694688521988,13.160526559851338,917.8325265549288,12.737216238448656,13.160545679886756
